agent_id,agent_type,decision_style_en,preference_summary_en,ideal_visual_fr,ideal_texture_fr,ideal_flavor_fr,salt_preference,texture_priority,flavor_priority,generator_model,generator_thinking_config
system2_01,system2,This agent employs a rigorous cost-benefit analysis of nutritional profiles versus price points before making a selection.,The consumer prioritizes high protein content and minimal additives like nitrites. Preference is given to products where the price-to-quality ratio aligns with sustainable sourcing and low sodium levels.,"Une tranche d'épaisseur régulière présentant des fibres musculaires identifiables, sans exsudat excessif ni coloration artificielle rosâtre.","Une structure ferme et consistante en bouche, évitant toute impression de gomme ou de viande reconstituée par injection d'eau.","Un profil aromatique équilibré où le goût naturel du porc domine, soutenu par un bouillon de légumes discret sans dominance saline.",low,high,moderate,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}"
system2_02,system2,"This agent evaluates product attributes through a systematic comparison of nutritional density, ingredient transparency, and price-to-quality ratios.",Prioritizes high-protein content and minimal additives over sensory indulgence. Seeks a balance between traditional curing methods and modern health standards.,"Une tranche d'une épaisseur constante de 2mm, présentant une structure musculaire intacte sans agrégats de gras excessifs ni exsudat aqueux visible.","Une texture ferme et fibreuse qui offre une résistance mécanique nette à la mastication, évitant tout aspect spongieux ou élastique lié aux polyphosphates.","Un profil aromatique équilibré où la saveur de la viande de porc prédomine, complétée par des notes subtiles de bouillon de légumes sans persistance saline excessive.",low,high,moderate,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}"
system2_03,system2,"Evaluates products based on a systematic comparison of nutritional data, ingredient transparency, and price-to-quality ratios.",Prioritizes high protein content and minimal additives over brand loyalty. Seeks a balance between traditional curing methods and low sodium levels.,"Une couleur rose pâle homogène sans reflets irisés, avec une structure musculaire visible et une fine bordure de gras indiquant une transformation minimale.","Une texture ferme et fibreuse qui offre une résistance à la mastication, évitant tout aspect spongieux ou élastique lié aux polyphosphates.","Un goût de viande porcine authentique, subtilement rehaussé par un bouillon de légumes, sans dominance excessive du sel ou des arômes de fumée synthétiques.",low,high,high,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}"
system2_04,system2,"I evaluate food products by systematically comparing nutritional data, ingredient transparency, and price-to-quality ratios to ensure an objective purchase decision.",I prioritize high protein content and minimal additives like nitrites. My preference leans towards traditional processing methods that preserve the integrity of the muscle fiber.,"Une couleur rose pâle homogène sans reflets irisés, avec une structure musculaire clairement identifiable et une fine bordure de gras indiquant une découpe entière.","Une texture ferme et fibreuse qui offre une résistance mécanique naturelle à la mastication, évitant toute impression de gélatinisation ou de souplesse artificielle.","Un profil aromatique équilibré entre le bouillon de légumes et la viande de porc, avec une perception saline contrôlée et une absence totale d'arrière-goût chimique.",low,high,high,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}"
system2_05,system2,"I evaluate products based on a systematic comparison of nutritional data, ingredient lists, and the objective ratio of price to quality.",I prioritize hams with minimal additives and a high meat-to-fat ratio. My selection is based on finding the optimal balance between protein density and sodium content.,"Une couleur rose pâle homogène sans zones grisâtres, présentant des fibres musculaires distinctes et une absence de gras intermusculaire excessif ou de gélatine ajoutée.","Une texture ferme mais tendre, offrant une résistance constante à la mastication sans être élastique ni s'effriter, indiquant une intégrité structurelle du muscle.","Un équilibre subtil entre la saveur naturelle du porc et un assaisonnement discret, sans prédominance de sel, de fumée ou d'arômes de synthèse.",low,moderate,high,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}"
system2_06,system2,"This consumer evaluates products through a systematic cost-benefit analysis of nutritional density, ingredient transparency, and objective sensory benchmarks.",Prioritizes high-protein content and minimal additives over brand loyalty. Seeks a balance between sodium reduction and microbiological stability.,"Une tranche d'aspect naturel présentant des fibres musculaires distinctes, sans exsudat aqueux ni colorants nitrités excessifs.","Une structure ferme et consistante en bouche, évitant toute élasticité artificielle ou texture spongieuse liée aux polyphosphates.","Un profil aromatique équilibré de bouillon de légumes et de viande cuite, sans dominance excessive du sel ou des arômes de fumée.",low,high,moderate,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}"
system2_07,system2,"I evaluate products by systematically comparing technical specifications, ingredient lists, and the price-to-quality ratio to maximize utility.",I prioritize ham with a high percentage of muscle meat and minimal additives. My choices are driven by nutritional density and the authentic structural integrity of the product.,"Une tranche présentant des fibres musculaires distinctes et une couleur rosée naturelle non uniforme, indiquant l'absence de colorants excessifs et une découpe artisanale.","Une texture ferme et consistante offrant une résistance franche sous la dent, exempte de toute sensation spongieuse ou gélatineuse liée aux additifs.","Un goût de porc équilibré par un bouillon de légumes subtil, avec une salinité maîtrisée qui ne masque pas les arômes primaires de la viande.",low,high,high,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}"
system2_08,system2,I employ a systematic evaluation of nutritional composition and ingredient lists to determine the objective quality of the product relative to its price.,I favor hams with a high percentage of meat and minimal technological additives like nitrites or phosphates. My selection process prioritizes structural integrity and protein density over sensory immediate gratification.,"Une tranche présentant une structure musculaire identifiable, avec un grain de viande serré et une couleur rose pâle naturelle, exempte de zones gélatineuses.",Une mâche ferme et cohérente qui témoigne d'une absence de polyphosphates et d'un taux d'humidité maîtrisé dans le produit fini.,"Un profil aromatique sobre et authentique, soulignant la qualité de la viande sans artifice d'arômes ajoutés ou d'excès de dextrose.",low,high,moderate,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}"
system2_09,system2,I employ a comparative analysis of ingredient lists and nutritional labels to determine the optimal balance between protein quality and additive reduction.,"I prioritize hams with high muscle integrity and minimal sodium content, favoring traditional processing over industrial speed. My choice is dictated by the absence of nitrites and the clarity of the sourcing documentation.","Une tranche d'aspect mat et hétérogène montrant les fibres naturelles du muscle, avec une couleur rose pâle non uniforme et une bordure de gras très fine.","Une texture dense et fibreuse qui nécessite une mastication réelle, évitant absolument le caractère spongieux ou élastique des produits reconstitués.","Un profil aromatique sobre centré sur la viande de porc cuite, rehaussé par un bouillon de légumes discret sans persistance excessive de sel en fin de bouche.",low,high,moderate,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}"
system2_10,system2,"I evaluate products based on a systematic comparison of technical attributes, nutritional density, and the cost-to-quality ratio.",I prioritize a high protein-to-fat ratio and the absence of controversial additives like nitrites. My selection depends on a balanced trade-off between traditional curing methods and sodium content.,"Une tranche présentant une structure musculaire identifiable avec des fibres intactes, une coloration rose pâle naturelle et homogène, exempte de zones gélatineuses.","Une texture ferme et dense en bouche, offrant une résistance mécanique lors de la mastication qui témoigne de l'absence de polyphosphates et d'eau ajoutée.","Un profil organoleptique équilibré où prédomine le goût de la viande de porc cuite, soutenu par un assaisonnement discret de bouillon de légumes et une salinité maîtrisée.",low,high,moderate,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}"
