agent_id,agent_type,Product,analysis_model,analysis_model_id,analysis_thinking_config,liking,predicted_liking,visual_similarity,texture_similarity,flavor_similarity
system1_06,system1,J25,flash_lite_25,gemini-2.5-flash-lite,null,5.5,5.333,4,4,3
system1_06,system1,J25,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",5.5,6.667,5,4,4
system1_06,system1,J07,flash_lite_25,gemini-2.5-flash-lite,null,6.5,4.667,2,3,5
system1_06,system1,J07,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",6.5,4.0,2,2,5
system1_07,system1,J22,flash_lite_25,gemini-2.5-flash-lite,null,8.0,10.0,6,6,6
system1_07,system1,J22,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",8.0,10.0,6,6,6
system1_07,system1,J17,flash_lite_25,gemini-2.5-flash-lite,null,6.5,5.333,3,4,4
system1_07,system1,J17,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",6.5,6.0,3,4,5
system1_07,system1,J11,flash_lite_25,gemini-2.5-flash-lite,null,4.5,2.667,3,2,2
system1_07,system1,J11,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",4.5,3.333,4,2,2
system1_07,system1,J29,flash_lite_25,gemini-2.5-flash-lite,null,7.0,6.0,3,5,4
system1_07,system1,J29,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",7.0,6.667,3,6,4
system1_07,system1,J25,flash_lite_25,gemini-2.5-flash-lite,null,2.0,1.333,2,2,1
system1_07,system1,J25,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",2.0,2.667,3,2,2
system1_07,system1,J07,flash_lite_25,gemini-2.5-flash-lite,null,7.0,6.0,3,4,5
system1_07,system1,J07,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",7.0,6.667,3,4,6
system1_08,system1,J22,flash_lite_25,gemini-2.5-flash-lite,null,8.0,8.0,5,5,5
system1_08,system1,J22,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",8.0,9.333,6,6,5
system1_08,system1,J17,flash_lite_25,gemini-2.5-flash-lite,null,6.5,6.667,4,4,5
system1_08,system1,J17,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",6.5,6.667,3,4,6
system1_08,system1,J11,flash_lite_25,gemini-2.5-flash-lite,null,3.0,0.667,2,1,1
system1_08,system1,J11,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",3.0,2.667,3,2,2
system1_08,system1,J29,flash_lite_25,gemini-2.5-flash-lite,null,4.0,4.0,3,3,3
system1_08,system1,J29,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",4.0,4.667,3,4,3
system1_08,system1,J25,flash_lite_25,gemini-2.5-flash-lite,null,3.0,1.333,2,2,1
system1_08,system1,J25,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",3.0,2.667,2,3,2
system1_08,system1,J07,flash_lite_25,gemini-2.5-flash-lite,null,7.0,6.0,3,4,5
system1_08,system1,J07,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",7.0,6.0,3,4,5
system1_09,system1,J22,flash_lite_25,gemini-2.5-flash-lite,null,6.5,5.333,4,3,4
system1_09,system1,J22,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",6.5,7.333,6,4,4
system1_09,system1,J17,flash_lite_25,gemini-2.5-flash-lite,null,5.5,4.667,3,4,3
system1_09,system1,J17,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",5.5,5.333,4,4,3
system1_09,system1,J11,flash_lite_25,gemini-2.5-flash-lite,null,2.0,0.667,2,1,1
system1_09,system1,J11,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",2.0,2.0,2,2,2
system1_09,system1,J29,flash_lite_25,gemini-2.5-flash-lite,null,7.0,6.0,4,4,4
system1_09,system1,J29,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",7.0,8.667,5,5,6
system1_09,system1,J25,flash_lite_25,gemini-2.5-flash-lite,null,3.0,2.0,2,2,2
system1_09,system1,J25,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",3.0,2.667,2,3,2
system1_09,system1,J07,flash_lite_25,gemini-2.5-flash-lite,null,3.0,2.0,2,2,2
system1_09,system1,J07,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",3.0,2.667,3,2,2
system1_10,system1,J22,flash_lite_25,gemini-2.5-flash-lite,null,8.5,8.0,5,5,5
system1_10,system1,J22,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",8.5,10.0,6,6,6
system1_10,system1,J17,flash_lite_25,gemini-2.5-flash-lite,null,4.0,2.667,3,2,2
system1_10,system1,J17,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",4.0,4.0,3,3,3
system1_10,system1,J11,flash_lite_25,gemini-2.5-flash-lite,null,4.0,3.333,4,2,2
system1_10,system1,J11,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",4.0,4.0,5,2,2
system1_10,system1,J29,flash_lite_25,gemini-2.5-flash-lite,null,6.5,6.0,4,4,4
system1_10,system1,J29,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",6.5,6.667,4,5,4
system1_10,system1,J25,flash_lite_25,gemini-2.5-flash-lite,null,5.0,2.667,3,2,2
system1_10,system1,J25,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",5.0,4.0,3,3,3
system1_10,system1,J07,flash_lite_25,gemini-2.5-flash-lite,null,6.0,3.333,2,3,3
system1_10,system1,J07,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",6.0,4.667,3,3,4
system2_01,system2,J22,flash_lite_25,gemini-2.5-flash-lite,null,4.5,2.0,2,2,2
system2_01,system2,J22,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",4.5,2.667,3,2,2
system2_01,system2,J17,flash_lite_25,gemini-2.5-flash-lite,null,4.0,0.667,1,2,1
system2_01,system2,J17,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",4.0,2.667,2,3,2
system2_01,system2,J11,flash_lite_25,gemini-2.5-flash-lite,null,3.5,0.0,1,1,1
system2_01,system2,J11,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",3.5,2.0,2,2,2
system2_01,system2,J29,flash_lite_25,gemini-2.5-flash-lite,null,4.5,0.667,1,1,2
system2_01,system2,J29,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",4.5,3.333,2,2,4
system2_01,system2,J25,flash_lite_25,gemini-2.5-flash-lite,null,2.5,0.0,1,1,1
system2_01,system2,J25,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",2.5,0.0,1,1,1
system2_01,system2,J07,flash_lite_25,gemini-2.5-flash-lite,null,4.5,1.333,1,2,2
system2_01,system2,J07,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",4.5,3.333,2,3,3
system2_02,system2,J22,flash_lite_25,gemini-2.5-flash-lite,null,5.5,3.333,3,2,3
system2_02,system2,J22,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",5.5,4.0,4,2,3
system2_02,system2,J17,flash_lite_25,gemini-2.5-flash-lite,null,5.5,3.333,2,3,3
system2_02,system2,J17,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",5.5,3.333,2,3,3
system2_02,system2,J11,flash_lite_25,gemini-2.5-flash-lite,null,4.5,1.333,2,1,2
system2_02,system2,J11,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",4.5,3.333,3,2,3
system2_02,system2,J29,flash_lite_25,gemini-2.5-flash-lite,null,4.5,0.667,1,1,2
system2_02,system2,J29,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",4.5,2.0,2,1,3
system2_02,system2,J25,flash_lite_25,gemini-2.5-flash-lite,null,2.5,0.0,1,1,1
system2_02,system2,J25,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",2.5,0.0,1,1,1
system2_02,system2,J07,flash_lite_25,gemini-2.5-flash-lite,null,4.5,0.0,1,1,1
system2_02,system2,J07,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",4.5,3.333,2,3,3
system2_03,system2,J22,flash_lite_25,gemini-2.5-flash-lite,null,5.5,3.333,3,2,3
system2_03,system2,J22,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",5.5,4.0,4,2,3
system2_03,system2,J17,flash_lite_25,gemini-2.5-flash-lite,null,4.5,2.667,2,3,2
system2_03,system2,J17,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",4.5,4.0,2,4,3
system2_03,system2,J11,flash_lite_25,gemini-2.5-flash-lite,null,4.5,1.333,2,2,1
system2_03,system2,J11,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",4.5,4.0,3,4,2
system2_03,system2,J29,flash_lite_25,gemini-2.5-flash-lite,null,4.5,0.0,1,1,1
system2_03,system2,J29,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",4.5,2.667,2,2,3
system2_03,system2,J25,flash_lite_25,gemini-2.5-flash-lite,null,2.5,0.0,1,1,1
system2_03,system2,J25,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",2.5,0.0,1,1,1
system2_03,system2,J07,flash_lite_25,gemini-2.5-flash-lite,null,5.5,3.333,2,3,3
system2_03,system2,J07,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",5.5,4.0,2,4,3
system2_04,system2,J22,flash_lite_25,gemini-2.5-flash-lite,null,4.5,4.0,4,2,3
system2_04,system2,J22,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",4.5,4.0,4,2,3
system2_04,system2,J17,flash_lite_25,gemini-2.5-flash-lite,null,3.5,0.0,1,1,1
system2_04,system2,J17,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",3.5,2.0,2,2,2
system2_04,system2,J11,flash_lite_25,gemini-2.5-flash-lite,null,3.5,1.333,2,1,2
system2_04,system2,J11,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",3.5,2.0,2,2,2
system2_04,system2,J29,flash_lite_25,gemini-2.5-flash-lite,null,3.5,0.0,1,1,1
system2_04,system2,J29,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",3.5,0.667,1,1,2
system2_04,system2,J25,flash_lite_25,gemini-2.5-flash-lite,null,2.5,0.0,1,1,1
system2_04,system2,J25,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",2.5,1.333,2,1,2
system2_04,system2,J07,flash_lite_25,gemini-2.5-flash-lite,null,4.5,0.0,1,1,1
system2_04,system2,J07,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",4.5,4.0,2,3,4
system2_05,system2,J22,flash_lite_25,gemini-2.5-flash-lite,null,4.5,2.0,2,2,2
system2_05,system2,J22,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",4.5,2.667,3,2,2
system2_05,system2,J17,flash_lite_25,gemini-2.5-flash-lite,null,5.5,1.333,1,2,2
system2_05,system2,J17,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",5.5,2.667,2,3,2
system2_05,system2,J11,flash_lite_25,gemini-2.5-flash-lite,null,4.5,3.333,3,3,2
system2_05,system2,J11,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",4.5,3.333,3,3,2
system2_05,system2,J29,flash_lite_25,gemini-2.5-flash-lite,null,5.5,4.0,2,2,5
system2_05,system2,J29,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",5.5,4.667,2,2,6
system2_05,system2,J25,flash_lite_25,gemini-2.5-flash-lite,null,2.5,0.0,1,1,1
system2_05,system2,J25,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",2.5,0.0,1,1,1
system2_05,system2,J07,flash_lite_25,gemini-2.5-flash-lite,null,3.5,0.0,1,1,1
system2_05,system2,J07,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",3.5,1.333,1,2,2
system2_06,system2,J22,flash_lite_25,gemini-2.5-flash-lite,null,4.5,1.333,2,1,2
system2_06,system2,J22,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",4.5,2.667,2,2,3
system2_06,system2,J17,flash_lite_25,gemini-2.5-flash-lite,null,5.5,3.333,2,3,3
system2_06,system2,J17,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",5.5,3.333,2,3,3
system2_06,system2,J11,flash_lite_25,gemini-2.5-flash-lite,null,4.5,0.0,1,1,1
system2_06,system2,J11,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",4.5,1.333,2,1,2
system2_06,system2,J29,flash_lite_25,gemini-2.5-flash-lite,null,4.5,0.667,1,1,2
system2_06,system2,J29,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",4.5,2.0,2,1,3
system2_06,system2,J25,flash_lite_25,gemini-2.5-flash-lite,null,3.2,0.0,1,1,1
system2_06,system2,J25,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",3.2,0.667,1,1,2
system2_06,system2,J07,flash_lite_25,gemini-2.5-flash-lite,null,4.5,2.0,1,2,3
system2_06,system2,J07,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",4.5,4.0,2,3,4
system2_07,system2,J22,flash_lite_25,gemini-2.5-flash-lite,null,4.5,0.667,2,1,1
system2_07,system2,J22,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",4.5,2.667,3,2,2
system2_07,system2,J17,flash_lite_25,gemini-2.5-flash-lite,null,4.5,3.333,2,3,3
system2_07,system2,J17,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",4.5,4.0,2,4,3
system2_07,system2,J11,flash_lite_25,gemini-2.5-flash-lite,null,3.5,0.0,1,1,1
system2_07,system2,J11,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",3.5,0.0,1,1,1
system2_07,system2,J29,flash_lite_25,gemini-2.5-flash-lite,null,4.0,0.0,1,1,1
system2_07,system2,J29,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",4.0,0.667,1,1,2
system2_07,system2,J25,flash_lite_25,gemini-2.5-flash-lite,null,2.5,0.0,1,1,1
system2_07,system2,J25,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",2.5,0.0,1,1,1
system2_07,system2,J07,flash_lite_25,gemini-2.5-flash-lite,null,4.5,0.0,1,1,1
system2_07,system2,J07,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",4.5,3.333,2,3,3
system2_08,system2,J22,flash_lite_25,gemini-2.5-flash-lite,null,6.0,6.0,4,4,4
system2_08,system2,J22,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",6.0,6.667,4,4,5
system2_08,system2,J17,flash_lite_25,gemini-2.5-flash-lite,null,3.5,0.0,1,1,1
system2_08,system2,J17,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",3.5,1.333,1,2,2
system2_08,system2,J11,flash_lite_25,gemini-2.5-flash-lite,null,4.5,4.0,3,3,3
system2_08,system2,J11,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",4.5,4.667,3,4,3
system2_08,system2,J29,flash_lite_25,gemini-2.5-flash-lite,null,3.5,0.0,1,1,1
system2_08,system2,J29,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",3.5,0.667,1,1,2
system2_08,system2,J25,flash_lite_25,gemini-2.5-flash-lite,null,2.5,0.0,1,1,1
system2_08,system2,J25,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",2.5,0.0,1,1,1
system2_08,system2,J07,flash_lite_25,gemini-2.5-flash-lite,null,4.5,0.0,1,1,1
system2_08,system2,J07,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",4.5,2.667,2,3,2
system2_09,system2,J22,flash_lite_25,gemini-2.5-flash-lite,null,4.5,3.333,3,2,3
system2_09,system2,J22,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",4.5,3.333,3,2,3
system2_09,system2,J17,flash_lite_25,gemini-2.5-flash-lite,null,3.0,0.0,1,1,1
system2_09,system2,J17,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",3.0,2.0,2,2,2
system2_09,system2,J11,flash_lite_25,gemini-2.5-flash-lite,null,3.5,0.667,2,1,1
system2_09,system2,J11,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",3.5,1.333,2,1,2
system2_09,system2,J29,flash_lite_25,gemini-2.5-flash-lite,null,3.5,0.667,1,1,2
system2_09,system2,J29,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",3.5,2.667,2,1,4
system2_09,system2,J25,flash_lite_25,gemini-2.5-flash-lite,null,2.0,0.0,1,1,1
system2_09,system2,J25,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",2.0,0.0,1,1,1
system2_09,system2,J07,flash_lite_25,gemini-2.5-flash-lite,null,4.5,0.0,1,1,1
system2_09,system2,J07,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",4.5,2.667,2,3,2
system2_10,system2,J22,flash_lite_25,gemini-2.5-flash-lite,null,4.5,2.667,3,2,2
system2_10,system2,J22,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",4.5,3.333,3,2,3
system2_10,system2,J17,flash_lite_25,gemini-2.5-flash-lite,null,4.5,0.0,1,1,1
system2_10,system2,J17,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",4.5,3.333,2,3,3
system2_10,system2,J11,flash_lite_25,gemini-2.5-flash-lite,null,4.5,0.667,2,1,1
system2_10,system2,J11,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",4.5,2.667,3,2,2
system2_10,system2,J29,flash_lite_25,gemini-2.5-flash-lite,null,4.5,2.0,2,1,3
system2_10,system2,J29,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",4.5,2.0,2,1,3
system2_10,system2,J25,flash_lite_25,gemini-2.5-flash-lite,null,2.5,0.0,1,1,1
system2_10,system2,J25,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",2.5,0.0,1,1,1
system2_10,system2,J07,flash_lite_25,gemini-2.5-flash-lite,null,4.5,0.0,1,1,1
system2_10,system2,J07,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",4.5,4.0,2,4,3
