Subject,Reference ID,Verification Status,Confirmed Authors,Confirmed Year,Confirmed Title,Confirmed Venue,DOI or Identifier,Discrepancies Found,Contextual Appropriateness,Contextual Notes,Flags / Action Items,Error
"REF 11 — Liu et al. (2023) G-Eval
As listed: Liu, Y., Iter, D., Xu, Y., Wang, S., Xu, R., & Zhu, C. (2023). G-Eval: NLG evaluation using GPT-4 with better human alignment. Preprint.
In-text use: Used in Related Work §2.2 on LLMs as judges/annotators — G-Eval as example of LLM evaluation framework.",REF 11 — Liu et al. (2023),VERIFIED WITH CORRECTIONS,"Liu, Y., Iter, D., Xu, Y., Wang, S., Xu, R., Zhu, C.",2023,G-Eval: NLG Evaluation using Gpt-4 with Better Human Alignment,"Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing, 2511–2522",doi:10.18653/v1/2023.emnlp-main.153,"The manuscript lists the paper as a 'Preprint', but it was published in the Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing (EMNLP 2023). Full author names are also available.",APPROPRIATE,"The paper describes G-Eval as a framework for NLG evaluation using large language models like GPT-4, which aligns with its in-text use as an example of an LLM evaluation framework.","The reference is listed as a 'Preprint' in the manuscript, but it is a published conference paper. This should be corrected.",
"REF 12 — Liu et al. (2024) Chain-of-thought perceptual tasks
As listed: Liu, S., Geng, Y., Wu, Z., Sucholutsky, I., Lombrozo, T., & Griffiths, T. L. (2024). Chain-of-thought can reduce performance on pattern-matching and perceptual tasks. Preprint.
In-text use: Used in Related Work §2.4 — 'Liu et al. [2024] report that chain-of-thought can reduce performance on pattern-matching or perceptual tasks.'",REF 12 — Liu et al. (2024),VERIFIED WITH CORRECTIONS,"Liu, R., Geng, J., Wu, A. J., Sucholutsky, I., Lombrozo, T., & Griffiths, T. L.",2024,Mind Your Step (by Step): Chain-of-Thought can Reduce Performance on Tasks where Thinking Makes Humans Worse,Preprint (arXiv),arXiv:2410.21333,"The listed title is a shortened version of the actual title. The listed title is 'Chain-of-thought can reduce performance on pattern-matching and perceptual tasks.', while the confirmed title is 'Mind Your Step (by Step): Chain-of-Thought can Reduce Performance on Tasks where Thinking Makes Humans Worse'.",APPROPRIATE,"The in-text claim accurately reflects the paper's findings, which investigate scenarios where Chain-of-Thought prompting can reduce performance in certain tasks, drawing parallels with human cognitive processes in perceptual tasks.",None,
"REF 13 — Mahieu et al. (2020)
As listed: Mahieu, B., Visalli, M., Thomas, A., & Schlich, P. (2020). Free-comment outperformed check-all-that-apply in the sensory characterisation of wines with consumers at home. Food Quality and Preference, 84, 103937.
In-text use: Used in Intro §1 and Related Work §2.1 — Free-Comment outperformed CATA for consumer wine characterization in home-use setting.",REF 13 — Mahieu et al. (2020),VERIFIED,"Mahieu, B., Visalli, M., Thomas, A., & Schlich, P.",2020,Free-comment outperformed check-all-that-apply in the sensory characterisation of wines with consumers at home,"Food Quality and Preference, 84, 103937",doi:10.1016/j.foodqual.2020.103937,None,APPROPRIATE,The paper's abstract and title directly support the manuscript's claim that 'Free-Comment outperformed CATA for consumer wine characterization in home-use setting.' The citation appears accurate and fair.,None,
"REF 14 — Mahieu et al. (2021)
As listed: Mahieu, B., Schlich, P., Visalli, M., & Cardot, H. (2021). A multiple-response chi-square framework for the analysis of Free-Comment and Check-All-That-Apply data. Food Quality and Preference, 93, 104256.
In-text use: Used in Intro §1 and Related Work §2.1 — developed multiple-response chi-square framework and MR-CA for Free-Comment data.",REF 14 — Mahieu et al. (2021),VERIFIED,"Mahieu, B., Schlich, P., Visalli, M., Cardot, H.",2021,A multiple-response chi-square framework for the analysis of Free-Comment and Check-All-That-Apply data,"Food Quality and Preference, 93, 104256",doi:10.1016/j.foodqual.2021.104256,None,APPROPRIATE,"The paper indeed develops a multiple-response chi-square framework and specifically mentions multiple-response Correspondence Analysis (MR-CA) for Free-Comment data, which aligns with the manuscript's claim.",None,
"REF 15 — Mahieu et al. (2022)
As listed: Mahieu, B., Visalli, M., & Schlich, P. (2022). Identifying drivers of liking and characterizing the ideal product thanks to Free-Comment. Food Quality and Preference, 96, 104389.
In-text use: Core reference — used extensively throughout. The paper's dataset (cooked-ham IFC study, 483 French consumers, 30 hams, 2758 evaluations) and modality hierarchy (flavor > texture > visual) are the validation benchmark.",REF 15 — Mahieu et al. (2022),VERIFIED,"Mahieu, B., Visalli, M., & Schlich, P.",2022,Identifying drivers of liking and characterizing the ideal product thanks to Free-Comment,"Food Quality and Preference, 96, 104389",doi:10.1016/j.foodqual.2021.104389,None,APPROPRIATE,"The paper directly describes the cooked-ham IFC study with 483 French consumers and 30 hams, confirming the dataset details. The emphasis on flavor as a key driver of liking and the use of IFC for sensory characterization align with the manuscript's claim of it being a validation benchmark for modality hierarchy.",None,
"REF 16 — Maier et al. (2025)
As listed: Maier, M., Aslak, U., Fiaschi, L., and colleagues. (2025). Semantic Similarity Rating. Preprint. arXiv:2510.08338.
In-text use: Used in Related Work §2.3 — Semantic Similarity Rating (SSR) is described as an adjacent method where LLM produces free-text responses mapped to Likert probability distributions via embeddings to reference anchor statements. Positioned as different from the manuscript's direct integer scoring approach.",REF 16 — Maier et al. (2025),VERIFIED,"Maier, B. F., Aslak, U., Fiaschi, L., Rismal, N., Fletcher, K., Luhmann, C. C., Dow, R., Pappas, K., Wiecki, T. V.",2025,LLMs Reproduce Human Purchase Intent via Semantic Similarity Elicitation of Likert Ratings,Preprint. arXiv:2510.08338,doi:10.48550/arXiv.2510.08338,"The manuscript lists the title as 'Semantic Similarity Rating' and authors as 'Maier, M., Aslak, U., Fiaschi, L., and colleagues.' The full title is 'LLMs Reproduce Human Purchase Intent via Semantic Similarity Elicitation of Likert Ratings' and the full author list has been provided.",APPROPRIATE,"The paper introduces Semantic Similarity Rating (SSR) as a method where LLMs generate free-text responses that are then mapped to Likert distributions using embedding similarity to reference statements. This is presented as an alternative to direct numerical Likert ratings, aligning with the manuscript's description of it being an 'adjacent method' and 'different from the manuscript's direct integer scoring approach.'",None,
"REF 17 — Miller et al. (2021)
As listed: Miller, C. A., Hamilton, L. M., & Lahne, J. (2021). Sensory descriptor analysis of whisky lexicons through the use of deep learning. Foods, 10(7), 1633.
In-text use: Used in Related Work §2.2 on text mining in sensory science — deep learning for sensory descriptor analysis of whisky lexicons.",REF 17 — Miller et al. (2021),VERIFIED,"Miller, C. A., Hamilton, L. M., & Lahne, J.",2021,Sensory Descriptor Analysis of Whisky Lexicons through the Use of Deep Learning,"Foods, 10(7), 1633",doi:10.3390/foods10071633,None,APPROPRIATE,"The paper's title directly matches the in-text description regarding deep learning for sensory descriptor analysis of whisky lexicons, indicating appropriate use.",None,
"REF 18 — Motoki et al. (2025)
As listed: Motoki, K., Low, J. Y. Q., & Velasco, C. (2025). Generative artificial intelligence in sensory and consumer research. Food Quality and Preference, 133, 105600.
In-text use: Used in Related Work §2.2 — generative AI applications in sensory and consumer research (concept, design, and testing phases).",REF 18 — Motoki et al. (2025),VERIFIED WITH CORRECTIONS,Same as listed,Same as listed,Generative AI framework for sensory and consumer research,"Food Quality and Preference, 133, 105600",doi:10.1016/j.foodqual.2025.105600,"The listed title is 'Generative artificial intelligence in sensory and consumer research', while the confirmed title is 'Generative AI framework for sensory and consumer research'.",APPROPRIATE,"The paper explicitly discusses the application of generative AI in sensory and consumer research, specifically mentioning its use across concept, design, and testing phases, which directly matches the manuscript's in-text claim.",None,
"REF 19 — Sui et al. (2025)
As listed: Sui, Y., Chuang, Y.-S., Wang, Y., and colleagues. (2025). Stop overthinking: A survey of efficient reasoning for large language models. Preprint.
In-text use: Used in Related Work §2.4 — 'Sui et al. [2025] review efficient reasoning and overthinking more broadly.'",REF 19 — Sui et al. (2025),VERIFIED WITH CORRECTIONS,"Sui, Y., Chuang, Y.-N., Wang, G., Zhang, J., Zhang, T., Yuan, J., Liu, H., Wen, A., Zhong, S., Zou, N., Chen, H., Hu, X.",2025,Stop Overthinking: A Survey on Efficient Reasoning for Large Language Models,Accepted by TMLR 2025. Preprint on arXiv.,doi:10.48550/arXiv.2503.16419,"Authors: The manuscript lists \""Sui, Y., Chuang, Y.-S., Wang, Y., and colleagues.\"" The full author list is Sui, Y., Chuang, Y.-N., Wang, G., Zhang, J., Zhang, T., Yuan, J., Liu, H., Wen, A., Zhong, S., Zou, N., Chen, H., Hu, X. The manuscript's list is incomplete. Title: The manuscript lists \""Stop overthinking: A survey of efficient reasoning for large language models.\"" The confirmed title is \""Stop Overthinking: A Survey on Efficient Reasoning for Large Language Models\"". Venue: The manuscript lists \""Preprint\"". The paper has been \""Accepted by TMLR 2025\"" and is available as a preprint on arXiv.",APPROPRIATE,"The paper is a survey on efficient reasoning for large language models, directly aligning with the manuscript's claim that 'Sui et al. [2025] review efficient reasoning and overthinking more broadly.' The in-text usage is accurate and fair.",None,
"REF 20 — Symoneaux et al. (2012)
As listed: Symoneaux, R., Galmarini, M. V., & Mehinagic, E. (2012). Comment analysis of consumer's likes and dislikes as an alternative tool to preference mapping. Food Quality and Preference, 24(1), 59–66.
In-text use: Used in Intro §1 — 'Symoneaux et al. [2012] showed how comments about likes and dislikes could support preference analysis.'",REF 20 — Symoneaux et al. (2012),VERIFIED WITH CORRECTIONS,"Symoneaux, R., Galmarini, M. V., Mehinagic, E.",2012,Comment analysis of consumer’s likes and dislikes as an alternative tool to preference mapping. A case study on apples,"Food Quality and Preference, 24(1), 59–66",doi:10.1016/j.foodqual.2011.08.013,The listed title is missing the subtitle: 'A case study on apples'.,APPROPRIATE,"The paper directly discusses how comment analysis of consumer likes and dislikes can be an alternative tool to preference mapping, which aligns with the manuscript's claim.",None,
"REF 21 — ten Kleij & Musters (2003)
As listed: ten Kleij, F., & Musters, P. A. D. (2003). Text analysis of open-ended survey responses: a complementary method to preference mapping. Food Quality and Preference, 14(1), 43–52.
In-text use: Used in Intro §1 — 'ten Kleij and Musters [2003] introduced open-ended response analysis as a complement to preference mapping.' This is cited as the origin of Free-Comment methodology.",REF 21 — ten Kleij & Musters (2003),VERIFIED,"ten Kleij, F., Musters, P. A. D.",2003,Text analysis of open-ended survey responses: a complementary method to preference mapping,"Food Quality and Preference, 14(1), 43–52",doi:10.1016/S0950-3293(02)00011-3,None,APPROPRIATE,"The paper directly addresses the use of text analysis for open-ended survey responses as a complement to preference mapping, aligning with the manuscript's claim that it introduced this methodology.",None,
"REF 22 — Torrico (2025)
As listed: Torrico, D. D. (2025). The potential use of ChatGPT as a sensory evaluator of chocolate brownies: a brief case study. Foods, 14(3), 464.
In-text use: Used in Related Work §2.2 — 'exploratory use of ChatGPT as a sensory evaluator [Torrico, 2025].'",REF 22 — Torrico (2025),VERIFIED,"Torrico, D. D.",2025,The potential use of ChatGPT as a sensory evaluator of chocolate brownies: a brief case study,"Foods, 14(3), 464",doi:10.3390/foods14030464,None,APPROPRIATE,"The manuscript accurately describes the paper's content, which explores the use of ChatGPT as a sensory evaluator. The in-text citation aligns with the paper's focus.",None,
"REF 23 — Visalli et al. (2024a)
As listed: Visalli, M., Loiseau, A.-L., Cordelle, S., Mahieu, B., & Schlich, P. (2024). A dataset of perception and preferences of French consumers for commercial cooked hams sampled according to their nutritional values and claims. Data in Brief, 54, 110549.
In-text use: Used in Data §3 — the open dataset used in the present analysis. 'The case study uses the cooked-ham data of Mahieu et al. [2022], with the open dataset documented by Visalli et al. [2024a].'",REF 23 — Visalli et al. (2024a),VERIFIED,Same as listed,Same as listed,Same as listed,Same as listed,doi:10.1016/j.dib.2024.110549,None,APPROPRIATE,"The paper describes a dataset, which aligns with the manuscript's claim of using it as an open dataset for analysis.",None,
"REF 24 — Visalli et al. (2024b)
As listed: Visalli, M., Symoneaux, R., Mursic, C., Touret, M., Lourtieux, F., Coulibaly, K., & Mahieu, B. (2024). A dataset of annotated free comments on the sensory perception of madeleines for benchmarking text mining techniques. Data in Brief, 57, 111250.
In-text use: Used in Related Work §2.2 — annotated Free-Comment benchmark dataset for text mining techniques.",REF 24 — Visalli et al. (2024b),VERIFIED WITH CORRECTIONS,"Visalli, M., Symoneaux, R., Mursic, C., Touret, M., Lourtioux, F., Coulibaly, K., & Mahieu, B.",2024,A dataset of annotated free comments on the sensory perception of madeleines for benchmarking text mining techniques,"Data in Brief, 58, 111250",doi:10.1016/j.dib.2024.111250,"The manuscript lists Volume 57, while the verified information shows Volume 58. The publication year is listed as 2024 in the manuscript and DOI, but some sources indicate February 2025 for the journal issue.",APPROPRIATE,"The paper describes an annotated free-comment benchmark dataset for text mining techniques, which directly matches the in-text usage. The citation accurately reflects the content of the referenced work.",None,
"REF 25 — Visalli & Mahieu (2023)
As listed: Visalli, M., & Mahieu, B. (2023). Automated pre-processing of Free-Comment data combining sensory lexicons and statistical methods. Reference details to verify.
In-text use: Used in Related Work §2.2 — automated preprocessing of Free-Comment data. Manuscript notes 'Reference details to verify.'",REF 25 — Visalli & Mahieu (2023),VERIFIED WITH CORRECTIONS,"Visalli, M., Mahieu, B.",2023,Combining statistics and semantic for an automated data analysis of Free-Comment sensory description of products,"15. Pangborn sensory science symposium, Aug 2023, Nantes, France",hal-04197590,"The title listed in the manuscript is a descriptive summary, not the exact title. The venue was missing in the manuscript.",APPROPRIATE,"The paper describes a web-based application that automates the data analysis of Free-Comment data using NLP tools and semantics, which aligns with the manuscript's claim of 'automated preprocessing of Free-Comment data'.","The manuscript noted 'Reference details to verify.' for this reference, which has now been addressed.",
"REF 26 — Wang & Pellegrino (2025)
As listed: Wang, Y., & Pellegrino, R. (2025). Large language model ratings of creativity in flavor pairings. Reference details to verify.
In-text use: Used in Related Work §2.2 — flavor-pairing creativity evaluation with LLMs. Manuscript notes 'Reference details to verify.'",REF 26 — Wang & Pellegrino (2025),VERIFIED WITH CORRECTIONS,"Wang, Q. J., Pellegrino, R.",2025,Automating chemosensory creativity assessment with large language models,"Food Quality and Preference, Volume 132, Article: 105599, November 2025",doi:10.1016/j.foodqual.2025.105599,"Authors: Manuscript lists 'Wang, Y.' but the full name is 'Qian Janice Wang'. Title: Manuscript lists 'Large language model ratings of creativity in flavor pairings.' The actual title is 'Automating chemosensory creativity assessment with large language models'.",APPROPRIATE,"The paper directly addresses the use of large language models for evaluating creativity in flavor pairings, which aligns with the manuscript's in-text usage.","The manuscript noted 'Reference details to verify.' The year 2025 is a future date, but the article is already published online.",
"REF 27 — Wei et al. (2022)
As listed: Wei, J., Wang, X., Schuurmans, D., and colleagues. (2022). Chain-of-thought prompting elicits reasoning in large language models. Advances in Neural Information Processing Systems.
In-text use: Used in Related Work §2.4 — 'Chain-of-thought prompting and reasoning-oriented models improve many tasks that require explicit decomposition [Wei et al., 2022].'",REF 27 — Wei et al. (2022),VERIFIED WITH CORRECTIONS,"Wei, J., Wang, X., Schuurmans, D., Bosma, M., Ichter, B., Xia, F., Chi, E., Le, Q., Zhou, D.",2022,Chain-of-Thought Prompting Elicits Reasoning in Large Language Models,Advances in Neural Information Processing Systems 35 (NeurIPS 2022) Main Conference Track,doi:10.48550/arXiv.2201.11903,"The manuscript lists authors as 'Wei, J., Wang, X., Schuurmans, D., and colleagues.' The full author list is 'Wei, J., Wang, X., Schuurmans, D., Bosma, M., Ichter, B., Xia, F., Chi, E., Le, Q., Zhou, D.'. The venue is listed as 'Advances in Neural Information Processing Systems' while the confirmed venue is 'Advances in Neural Information Processing Systems 35 (NeurIPS 2022) Main Conference Track'.",APPROPRIATE,"The paper demonstrates that chain-of-thought prompting significantly improves the ability of large language models to perform complex reasoning tasks, which aligns with the manuscript's claim that it improves tasks requiring explicit decomposition.",The author list in the manuscript is truncated.,
"REF 28 — Worch (2013)
As listed: Worch, T. (2013). Ideal Profile Method (IPM): the ins and outs. Food Quality and Preference. Details to verify.
In-text use: Used in Related Work §2.1 — 'The method is related to the Ideal Profile Method [Worch, 2013], but it avoids a fixed attribute list.' Manuscript notes 'Details to verify.'",REF 28 — Worch (2013),VERIFIED WITH CORRECTIONS,"Worch, T., Lê, S., Punter, P., Pagès, J.",2013,Ideal Profile Method (IPM): The ins and outs,"Food Quality and Preference, 28(1), 45-59",doi:10.1016/j.foodqual.2012.08.001,"The manuscript listed only 'Worch, T.' as the author, but the paper has four authors: Thierry Worch, Sébastien Lê, Pieter Punter, and Jérôme Pagès. The manuscript did not include volume, issue, or page numbers for the venue.",APPROPRIATE,"The manuscript correctly identifies the reference as related to the Ideal Profile Method (IPM) and highlights a distinction regarding the attribute list, which is consistent with the paper's description of IPM using a list of attributes.",None,
"REF 29 — Zheng et al. (2023)
As listed: Zheng, L., Chiang, W.-L., Sheng, Y., and colleagues. (2023). Judging LLM-as-a-judge with MT-Bench and Chatbot Arena. Advances in Neural Information Processing Systems.
In-text use: Used in Related Work §2.2 — 'Work such as Zheng et al. [2023], Liu et al. [2023], and Gilardi et al. [2023] shows that LLM evaluation and annotation can be useful, but not automatically reliable. Known issues include positional bias, verbosity bias, self-enhancement bias, calibration problems, and task-specific disagreement with human raters.'",REF 29 — Zheng et al. (2023),VERIFIED WITH CORRECTIONS,"Zheng, L., Chiang, W.-L., Sheng, Y., Zhuang, S., Wu, Z., Zhuang, Y., Lin, Z., Li, Z., Li, D., Xing, E. P., Zhang, H., Gonzalez, J. E., Stoica, I.",2023,Judging LLM-as-a-Judge with MT-Bench and Chatbot Arena,Advances in Neural Information Processing Systems,arXiv:2306.05685,"The manuscript listed a partial author list, omitting several authors. The full author list has been provided.",APPROPRIATE,"The paper explicitly discusses the limitations of LLM-as-a-judge, including positional bias, verbosity bias, and self-enhancement bias, which directly supports the claims made in the manuscript's in-text usage.",None,
